Code,Pillar,Pillar.Code,Subpillar,Subpillar.Code,Indicator,Indicator.Code,Subindicator,Subindicator.Short,Subindicator.Code,Definition,Notes,Example units,Original.Outcome,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names
101,Productivity,Productivity,Yield,Yi,Product Yield,PY,Crop Yield,Crop Yield,CrY,"Amount of crop plant product produced (e.g., grain or fruit yield) per unit area land.","When product and non-product components are not separated, for example measures of total, above-ground or below-ground crop biomass, the outcome sould be recorded using the Biomass Yield Outcome. Non-product component outcomes (e.g. maize stover or wheat stalks) should be recorded using the Crop Residue Yield outcome.",t/ha;kg/ha,,N,p,N,Y,FALSE,
101.1,Productivity,Productivity,Yield,Yi,Product Yield,PY,Biomass Yield,Biomass Yield,BiY,"Plant biomass yield. This can be used to describe pasture biomass yields or when total, above ground, or below ground biomass yields are given for crops that are usually split into product and non-product parts on harvest.",,t/ha;kg/ha,,N,p,N,Y,FALSE,
101.2,Productivity,Productivity,Yield,Yi,Product Yield,PY,Extraction Yield,Extraction Yield,ExY,Extraction yield of oil from oil seeds or similar. For example 300kg oil extracted from 1000kg oil seeds = 0.3 or 30% oil yield per kg oil seeds.,This outcome should be a percentage or ratio.,Unitless ratio; %,,N,p,N,N,FALSE,
103,Productivity,Productivity,Yield,Yi,Product Yield,PY,Land Equivalent Ratio,LER,LER,The land equivalent ratio describes the relative land area required under sole cropping (monoculture) to produce the same yield as under intercropping (polyculture).,"We do not accept LER for practice A vs practice B (e.g. mulch vs no-mulch as this yield A/yield B, which we calculated as the response ratio).",Unitless ratio,,N,p,Y,Y,FALSE,
104,Productivity,Productivity,Yield,Yi,Product Yield,PY,Area Time Equivalent Ratio,ATER,ATER,"The Area Time Equivalent Ratio (ATER) is a measure of the productivity of an intercropping system. It is calculated by dividing the total yield of the intercrop by the yield of a sole crop grown for the same duration. The ATER is calculated as follows: ATER = (Total yield of intercrop) / (Yield of sole crop grown for the same duration). The ATER is particularly useful in intercropping systems where the crops have different growth durations. For example, if a farmer intercrops a fast-growing crop with a slow-growing crop, the faster-growing crop will produce a yield before the slower-growing crop. The ATER will take into account the different growth durations of the crops and will give a more accurate measure of the overall productivity of the intercropping system.",,,,N,p,Y,Y,FALSE,
118,Productivity,Productivity,Yield,Yi,Product Yield,PY,Weight Gain,Weight Gain,WG,Change in animal weight relative to a baseline (usually weight at the start of an experiment) over a specified time period.,Please try to standardise to g per animal per day (g/individual/day). Default unit is unit/individual (e.g kg/cow) unless otherwise stated. Values for this outcome can be negative (the animal loses weight) or positive.,"g/individual/day
SGR (Specific Growth Rate)",,Y,p,N,Not Sure,FALSE,
119.1,Productivity,Productivity,Yield,Yi,Product Yield,PY,Meat Yield,Meat Yield,MeY,The total weight of the animal or meat parts of it.,"This should not be an increase from a baseline weight (this is recorded under the Weight Gain outcome). Please try and standardise units kg/individual, you may specify the type of meat or weight measurement though (e.g. carcass weight kg/individual).' Specify if carcass is hot or cold, take both if given;Default unit is unit/individual (e.g kg/cow) unless otherwise statement",kg/individual,,N,p,N,Y,FALSE,
119.2,Productivity,Productivity,Yield,Yi,Product Yield,PY,Milk Yield,Milk Yield,MiY,Milk yields. Please specify absolute values and not change in yield relative to a base value.,Please try and standardise to litres per animal per day (l/individual/day).,l/individual/day,,N,p,N,Y,FALSE,
119.3,Productivity,Productivity,Yield,Yi,Product Yield,PY,Egg Yield,Egg Yield,EgY,"Egg yields, such as number of eggs per hen(s) per day(s).",Please try and standardise units to eggs per one individual per day. (eggs/individual/day).,eggs/hen/day,,N,p,N,Y,FALSE,
119.4,Productivity,Productivity,Yield,Yi,Product Yield,PY,Other Animal Product Yield,Animal Yield (Other),OAY,"Animal products that are not meat, egg, milk or offsping, for example wool, hides and honey.",,See any units for other animal outcomes.,,N,p,N,Y,FALSE,
119.5,Productivity,Productivity,Yield,Yi,Product Yield,PY,Reproductive Yield,Repro Yield,RepY,Number of offpsring produced. This also includes % calving rate or similar.,,#; %,,N,p,N,Y,FALSE,
400,Other,Other,Livestock Diet,Li,Feed Intake,FI,Feed Intake,Feed Intake,FeI,The amount of a diet consumed per unit time. ,,,,N,n,N,Y,FALSE,
102,Productivity,Productivity,Yield,Yi,Non-Product Yield,NPY,Crop Residue Yield,Residue Yield,ResY,"Crop residue yield is the amount of crop biomass left over once the crop products has been harvested. For example maize grain is a crop product, the stover and cobs leftover after harvesting the maize grain are crop residues.",Entire plant biomass can also be recorded under this outcome if product or biomass yields are not available ( make sure the unit reflects this).,t/ha;kg/ha,,N,p,N,Y,FALSE,
120,Productivity,Productivity,Economics,Ec,Income,In,Gross Return,Gross Return,GR,"Total income, revenue or returns without consideration of costs.",Please standardize area denominators to ha where possible. Convert currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,,N,p,N,Y,FALSE,
124,Productivity,Productivity,Economics,Ec,Income,In,Net Return,Net Return,NR,Net returns = income - total costs. Values for this outcome can be negative or positive.,Please standardize area denominators to ha where possible. Convert currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,,Y,p,N,Y,FALSE,
124.1,Productivity,Productivity,Economics,Ec,Income,In,Gross Margin,Gross Margin,GM,Gross margin = revenue - variable costs. Values for this outcome can be negative or positive.,Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units.,USD; USD/ha; USD/yr,,Y,p,N,Y,FALSE,
150,Productivity,Productivity,Economics,Ec,Costs,Co,Total Cost,Total Cost,TC,Total production costs.,Only use this outcome if it is unclear whether total cost is per asset (e.g. cost per ha of land or animal) or per unit of production (e.g. cost per kg of meat or grain produced). Please standardize area denominators to ha where possible. Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit production please use the variable cost per unit product outcome.,USD/ha,,N,n,N,Y,FALSE,
150.1,Productivity,Productivity,Economics,Ec,Costs,Co,Total Cost per Unit Product,Total Cost/Unit,TCU,Total production costs per unit of commodity produced. For example USD per kg maize produced or USD per kg of animal weight gained.,"Convert local currences to USD (present $ in units) if exchange rates are presented in the paper. Record values in non-USD currency using the ISO 4217 country currency code in the units. If costs are given per unit area, animal or some other asset please use the total cost per asset product outcome.",USD/kg;USD/ton,,N,n,N,Y,FALSE,
