"","hhID","X_gps_latitude","X_gps_longitude"
"4",2010105,0.41890293,35.13482791
"6",2010106,0.41929457,35.13347131
"9",2020205,0.3335762,35.1925896
"14",2020208,0.3297513,35.2005744
"21",2060701,0.04636052,35.13255807
"22",2060702,0.0459119,35.13217106
"24",2060706,0.0472868,35.1446549
"27",2060710,0.0460637,35.1447084
"28",2060105,-0.06446239,35.26871334
"30",2060103,-0.06871683,35.27169609
"31",2060104,-0.0657245,35.27220516
"32",2060703,0.04939118,35.14222887
"35",2060102,-0.07008563,35.27296602
"36",2060607,-0.0317899,35.0276467
"37",2060601,-0.03921759,35.02210511
"44",2060603,-0.041598,35.0209473
"45",2060604,-0.0433365,35.0227198
"47",2020702,0.32121015,35.05802262
"48",2060605,-0.0394927,35.0215054
"49",2060606,-0.0384766,35.0212556
"53",2060506,-0.0059356,35.04772984
"54",2060503,-0.01235614,35.066475
"55",2060504,-0.01140697,35.05778102
"60",2060509,-0.01666636,35.05702776
"61",2060510,-0.01706264,35.05611145
"63",2060508,-0.01704463,35.04938321
"64",2060501,-0.02710694,35.05514712
"69",2030204,0.2323351,35.2729167
"71",2060204,-0.03629195,35.25584442
"72",2060301,0.03967927,35.19734398
"73",2060302,0.03828507,35.19933722
"77",2060304,0.0309075,35.1933296
"80",2060207,-0.035485,35.2459437
"81",2060208,-0.0378838,35.2476879
"82",2060205,-0.0400994,35.2595836
"83",2060206,-0.0392807,35.261608
"84",2060305,0.02965827,35.19279862
"87",2060403,0.0085771,35.1303695
"89",2060401,0.01382098,35.13284959
"90",2060402,0.01817108,35.13429592
"93",2060405,0.01624646,35.1358996
"94",2060406,0.01875143,35.13232009
"95",2040105,0.2021075,35.2918109
"100",2040104,0.20468232,35.29050545
"101",2040109,0.20067481,35.28642466
"102",2040110,0.19756594,35.28575119
"103",2060407,0.00998172,35.12394519
"105",2010504,0.4353791,34.9987217
"106",2010307,0.50694512,35.11862577
"108",2010301,0.50834678,35.11897445
"114",2010306,0.50370406,35.12019007
"117",2010201,0.48713396,35.0820605
"119",2010303,0.5054359,35.12169694
"121",2010403,0.50570399,35.02369833
